Date,Open,High,Low,Close,Volume,30_Day_Rolling_Avg
4-May-17,146.52,147.14,145.81,146.53,23371872,152.18899999999996
3-May-17,145.59,147.49,144.27,147.06,45697034,152.28133333333332
2-May-17,147.54,148.09,146.84,147.51,45352194,152.35966666666667
1-May-17,145.1,147.2,144.96,146.58,33602943,152.35933333333332
28-Apr-17,144.09,144.3,143.27,143.65,20860358,152.30033333333333
27-Apr-17,143.92,144.16,143.31,143.79,14246347,152.12733333333333
26-Apr-17,144.47,144.6,143.38,143.68,20041241,151.75033333333334
25-Apr-17,143.91,144.9,143.87,144.53,18871501,151.389
24-Apr-17,143.5,143.95,143.18,143.64,17134333,151.02866666666668
21-Apr-17,142.44,142.68,141.85,142.27,17320928,150.64
20-Apr-17,141.22,142.92,141.16,142.44,23319562,150.20633333333336
19-Apr-17,141.88,142.0,140.45,140.68,17328375,149.78966666666665
18-Apr-17,141.41,142.04,141.11,141.2,14697544,149.40433333333334
17-Apr-17,141.48,141.88,140.87,141.83,16582094,149.00966666666667
13-Apr-17,141.91,142.38,141.05,141.05,17822880,148.591
12-Apr-17,141.6,142.15,141.01,141.8,20350000,148.18866666666665
11-Apr-17,142.94,143.35,140.06,141.63,30379376,147.79833333333332
10-Apr-17,143.6,143.88,142.9,143.17,18933397,147.444
7-Apr-17,143.73,144.18,143.27,143.34,16672198,147.089
6-Apr-17,144.29,144.52,143.45,143.66,21149034,146.77566666666664
5-Apr-17,144.22,145.46,143.81,144.02,27717854,146.49166666666667
4-Apr-17,143.25,144.89,143.17,144.77,19891354,146.309
3-Apr-17,143.71,144.12,143.05,143.7,19985714,145.91666666666666
31-Mar-17,143.72,144.27,143.01,143.66,19661651,145.51533333333333
30-Mar-17,144.19,144.5,143.5,143.93,21207252,145.10966666666667
29-Mar-17,143.68,144.49,143.19,144.12,29189955,144.782
28-Mar-17,140.91,144.04,140.62,143.8,33374805,144.46666666666667
27-Mar-17,139.39,141.22,138.62,140.88,23575094,144.02966666666669
24-Mar-17,141.5,141.74,140.35,140.64,22395563,143.61733333333333
23-Mar-17,141.26,141.58,140.61,140.92,20346301,143.34933333333336
22-Mar-17,139.84,141.6,139.76,141.42,25860165,143.17900000000003
21-Mar-17,142.11,142.8,139.73,139.84,39529912,142.93833333333333
20-Mar-17,140.4,141.5,140.23,141.46,21542038,142.73666666666665
17-Mar-17,141.0,141.0,139.89,139.99,43884952,142.517
16-Mar-17,140.72,141.02,140.26,140.69,19231998,142.41833333333335
